variant,seed,acc_train,acc_test,t_repr_s,t_fit_s,t_eval_s,t_total_s,dim,wl_t,wl_kmax,dw_p,dw_R,dw_t,dw_kmax,mlp_p,mlp_R,mlp_t,mlp_kmax,mlp_layers,mlp_hidden,mlp_d,mlp_act,p,n,variant_dir
WL,20250927,0.6571428571428571,0.5638888888888889,0.0304508209228515,0.0023481845855712,0.0006849765777587,0.0343837738037109,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,32,relu,,8,p0.1_R100_L10_H128_D32_relu
WL,20250928,0.6273809523809524,0.6055555555555555,0.0306048393249511,0.0024518966674804,0.0006914138793945,0.0346558094024658,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,32,relu,,8,p0.1_R100_L10_H128_D32_relu
WL,20250925,0.6095238095238096,0.6722222222222223,0.0337979793548584,0.0043270587921142,0.0007269382476806,0.040194034576416,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,64,relu,,8,p0.1_R100_L10_H128_D64_relu
WL,20250926,0.6392857142857142,0.5972222222222222,0.0314829349517822,0.0024611949920654,0.000699758529663,0.0355958938598632,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,64,relu,,8,p0.1_R100_L10_H128_D64_relu
WL,20250927,0.6571428571428571,0.5638888888888889,0.0314202308654785,0.0023748874664306,0.000694990158081,0.0355782508850097,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,64,relu,,8,p0.1_R100_L10_H128_D64_relu
WL,20250928,0.6273809523809524,0.6055555555555555,0.0313999652862548,0.0024440288543701,0.0006899833679199,0.0354511737823486,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,64,relu,,8,p0.1_R100_L10_H128_D64_relu
WL,20250925,0.6095238095238096,0.6722222222222223,0.0513238906860351,0.0047061443328857,0.0007400512695312,0.0592072010040283,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,32,relu,,8,p0.1_R100_L10_H20_D32_relu
WL,20250926,0.6392857142857142,0.5972222222222222,0.0310950279235839,0.0026099681854248,0.0007121562957763,0.0353939533233642,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,32,relu,,8,p0.1_R100_L10_H20_D32_relu
WL,20250927,0.6571428571428571,0.5638888888888889,0.0310010910034179,0.0025267601013183,0.0007081031799316,0.0351521968841552,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,32,relu,,8,p0.1_R100_L10_H20_D32_relu
WL,20250928,0.6273809523809524,0.6055555555555555,0.0308258533477783,0.0025012493133544,0.0006978511810302,0.0349369049072265,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,32,relu,,8,p0.1_R100_L10_H20_D32_relu
WL,20250925,0.6095238095238096,0.6722222222222223,0.0326559543609619,0.0042431354522705,0.0010550022125244,0.0392951965332031,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,64,relu,,8,p0.1_R100_L10_H20_D64_relu
WL,20250926,0.6392857142857142,0.5972222222222222,0.0307750701904296,0.0024800300598144,0.0006966590881347,0.0349056720733642,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,64,relu,,8,p0.1_R100_L10_H20_D64_relu
WL,20250927,0.6571428571428571,0.5638888888888889,0.0306928157806396,0.002554178237915,0.0007052421569824,0.0348491668701171,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,64,relu,,8,p0.1_R100_L10_H20_D64_relu
WL,20250928,0.6273809523809524,0.6055555555555555,0.0308890342712402,0.0025348663330078,0.0006971359252929,0.0350959300994873,8,3,8,0.1,50,3,20,0.1,100,3,8,10,20,64,relu,,8,p0.1_R100_L10_H20_D64_relu
WL,20250925,0.6095238095238096,0.6722222222222223,0.0319809913635253,0.0043869018554687,0.0007276535034179,0.0384750366210937,8,3,8,0.1,50,3,20,0.1,100,3,8,10,64,32,relu,,8,p0.1_R100_L10_H64_D32_relu
WL,20250926,0.6392857142857142,0.5972222222222222,0.0327837467193603,0.0029921531677246,0.0008618831634521,0.0376858711242675,8,3,8,0.1,50,3,20,0.1,100,3,8,10,64,32,relu,,8,p0.1_R100_L10_H64_D32_relu
WL,20250927,0.6571428571428571,0.5638888888888889,0.0327816009521484,0.0029218196868896,0.0007729530334472,0.037607192993164,8,3,8,0.1,50,3,20,0.1,100,3,8,10,64,32,relu,,8,p0.1_R100_L10_H64_D32_relu
WL,20250928,0.6273809523809524,0.6055555555555555,0.0310959815979003,0.0025460720062255,0.000701904296875,0.0352442264556884,8,3,8,0.1,50,3,20,0.1,100,3,8,10,64,32,relu,,8,p0.1_R100_L10_H64_D32_relu
WL,20250925,0.6095238095238096,0.6722222222222223,0.0324709415435791,0.0044870376586914,0.0007240772247314,0.0390589237213134,8,3,8,0.1,50,3,20,0.1,100,3,8,10,64,64,relu,,8,p0.1_R100_L10_H64_D64_relu
